Dist, px;Temp, gray values;;;;;;GV;Temp
175,00;99,44;65,54;;;;;;
176,00;100,00;65,84;;;;;;
177,00;99,64;65,65;;;;;;
178,00;98,72;65,15;;;;;;
179,00;98,14;64,83;;;;;;
180,00;98,11;64,81;;;;;;
181,00;98,09;64,80;;;;;;
182,00;97,62;64,55;;;;;;
183,00;97,03;64,23;;;;;;
184,00;97,01;64,21;;;;;;
185,00;97,82;64,65;;;;;;
186,00;98,78;65,18;;;;;;
187,00;98,68;65,12;;;;;;
188,00;98,62;65,09;;;;;;
189,00;98,51;65,03;;;;;;
190,00;98,41;64,98;;;;;;
191,00;98,38;64,96;;;;;;
192,00;98,40;64,97;;;;;;
193,00;97,89;64,69;;;;;;
194,00;97,25;64,34;;;;;;
195,00;97,17;64,30;;;;;;
196,00;97,53;64,50;;;;;;
197,00;98,02;64,76;;;;;;
198,00;97,94;64,72;;;;;;
199,00;98,13;64,82;;;;;;
200,00;98,38;64,96;;;;;;
201,00;98,28;64,90;;;;;;
202,00;98,17;64,85;;;;;;
203,00;98,28;64,90;;;;;;
204,00;98,48;65,01;;;;;;
205,00;98,40;64,97;;;;;;
206,00;98,32;64,93;;;;;;
207,00;98,68;65,12;;;;;;
208,00;99,17;65,39;;;;;;
209,00;99,09;65,35;;;;;;
210,00;99,01;65,30;;;;;;
211,00;99,23;65,42;;;;;;
212,00;99,88;65,78;;;;;;
213,00;100,26;65,98;;;;;;
214,00;100,56;66,15;;;;;;
215,00;101,34;66,57;;;;;;
216,00;101,82;66,83;;;;;;
217,00;101,98;66,92;;;;;;
218,00;102,13;67,00;;;;;;
219,00;102,11;66,99;;;;;;
220,00;102,05;66,96;;;;;;
221,00;102,40;67,15;;;;;;
222,00;102,97;67,46;;;;;;
223,00;103,00;67,47;;;;;;
224,00;102,93;67,44;;;;;;
225,00;102,45;67,17;;;;;;
226,00;101,88;66,87;;;;;;
227,00;101,90;66,88;;;;;;
228,00;101,87;66,86;;;;;;
229,00;102,21;67,04;;;;;;
230,00;102,72;67,32;;;;;;
231,00;102,80;67,36;;;;;;
232,00;102,77;67,35;;;;;;
233,00;102,32;67,11;;;;;;
234,00;101,72;66,78;;;;;;
235,00;101,69;66,76;;;;;;
236,00;101,67;66,75;;;;;;
237,00;101,64;66,74;;;;;;
238,00;101,62;66,72;;;;;;
239,00;101,59;66,71;;;;;;
240,00;101,56;66,69;;;;;;
241,00;101,31;66,56;;;;;;
242,00;101,00;66,39;;;;;;
243,00;101,00;66,39;;;;;;
244,00;100,81;66,28;;;;;;
245,00;100,33;66,02;;;;;;
246,00;100,00;65,84;;;;;;
247,00;99,84;65,75;;;;;;
248,00;99,64;65,65;;;;;;
249,00;99,81;65,74;;;;;;
250,00;99,71;65,68;;;;;;
251,00;99,28;65,45;;;;;;
252,00;99,26;65,44;;;;;;
253,00;99,65;65,65;;;;;;
254,00;99,79;65,73;;;;;;
255,00;98,76;65,17;;;;;;
256,00;97,79;64,64;;;;;;
257,00;97,09;64,25;;;;;;
258,00;96,61;63,99;;;;;;
259,00;95,57;63,43;;;;;;
260,00;94,27;62,72;;;;;;
261,00;94,62;62,91;;;;;;
262,00;95,79;63,55;;;;;;
263,00;96,81;64,10;;;;;;
264,00;97,60;64,53;;;;;;
265,00;97,55;64,51;;;;;;
266,00;97,96;64,73;;;;;;
267,00;99,14;65,37;;;;;;
268,00;99,23;65,42;;;;;;
269,00;98,25;64,89;;;;;;
270,00;98,14;64,83;;;;;;
271,00;98,79;65,18;;;;;;
272,00;99,58;65,61;;;;;;
273,00;100,14;65,92;;;;;;
274,00;99,91;65,79;;;;;;
275,00;98,53;65,04;;;;;;
276,00;99,25;65,43;;;;;;
277,00;99,81;65,74;;;;;;
278,00;99,28;65,45;;;;;;
279,00;99,14;65,37;;;;;;
280,00;98,86;65,22;;;;;;
281,00;99,00;65,29;;;;;;
282,00;97,94;64,72;;;;;;
283,00;97,01;64,21;;;;;;
284,00;96,92;64,17;;;;;;
285,00;97,92;64,71;;;;;;
286,00;96,73;64,06;;;;;;
287,00;96,45;63,91;;;;;;
288,00;96,97;64,19;;;;;;
289,00;97,54;64,50;;;;;;
290,00;97,49;64,47;;;;;;
291,00;97,65;64,56;;;;;;
292,00;97,67;64,57;;;;;;
293,00;97,67;64,57;;;;;;
294,00;96,91;64,16;;;;;;
295,00;97,59;64,53;;;;;;
296,00;97,67;64,57;;;;;;
297,00;97,83;64,66;;;;;;
298,00;97,92;64,71;;;;;;
299,00;97,71;64,60;;;;;;
300,00;97,38;64,41;;;;;;
301,00;96,96;64,19;;;;;;
302,00;96,00;63,66;;;;;;
303,00;96,04;63,69;;;;;;
304,00;96,77;64,08;;;;;;
305,00;97,28;64,36;;;;;;
306,00;98,00;64,75;;;;;;
307,00;96,51;63,94;;;;;;
308,00;95,49;63,39;;;;;;
309,00;94,95;63,09;;;;;;
310,00;95,24;63,25;;;;;;
311,00;96,64;64,01;;;;;;
312,00;97,60;64,53;;;;;;
313,00;99,00;65,30;;;;;;
